Date,TAVG,RAIN,TR05
03-10-2021,66.47,0,2.5741
04-10-2021,67.84,0,2.4743
05-10-2021,66.43,0,2.4611
06-10-2021,65.76,0,2.5036
07-10-2021,73.02,0,2.5657
08-10-2021,79.09,0,2.6657
09-10-2021,78.49,0,2.8655
10-10-2021,72.03,0.64,3.1224
11-10-2021,63.83,0,2.4657
12-10-2021,68.81,0.04,2.1971
13-10-2021,65.86,1.03,1.6828
14-10-2021,65.38,0.01,1.6074
15-10-2021,58.82,0,1.661
16-10-2021,53.37,0,1.7147
17-10-2021,57.85,0,1.7473
18-10-2021,59.82,0,1.7788
19-10-2021,68.24,0,1.7995
20-10-2021,62.96,0,1.8169
21-10-2021,59.7,0,1.8442
22-10-2021,66.31,0,1.8533
23-10-2021,74.27,0,1.8581
24-10-2021,70,0,1.874
25-10-2021,63.13,0,1.9101
26-10-2021,71.64,0.49,1.907
27-10-2021,58.39,0.31,1.5676
28-10-2021,59.25,0,1.601
29-10-2021,53.57,0,1.6594
30-10-2021,52.89,0,1.6876
31-10-2021,53.68,0,1.7026
01-11-2021,51.4,0,1.7182
02-11-2021,45.05,0.06,1.7363
03-11-2021,44.56,0.06,1.7094
04-11-2021,47.67,0,1.7149
05-11-2021,48.66,0,1.7257
06-11-2021,53.11,0,1.7372
07-11-2021,59.86,0,1.748
08-11-2021,62.75,0,1.7581
09-11-2021,62.49,0,1.7625
10-11-2021,62.79,0,1.7691
11-11-2021,52.33,0,1.7929
12-11-2021,49.08,0,1.8209
13-11-2021,46.45,0,1.8482
14-11-2021,50.83,0,1.8553
15-11-2021,57.49,0,1.8693
16-11-2021,67.77,0,1.8649
17-11-2021,56,0,1.8879
18-11-2021,41.35,0,1.9357
19-11-2021,46.98,0,1.9639
20-11-2021,57.46,0,1.972
21-11-2021,49.7,0,1.9857
22-11-2021,46,0,2.0098
23-11-2021,55.87,0,2.0167
24-11-2021,59.5,0,2.0198
25-11-2021,40.11,0,2.0476
26-11-2021,43.27,0,2.0714
27-11-2021,49.68,0,2.0788
28-11-2021,47.01,0,2.091
29-11-2021,55.08,0,2.0954
30-11-2021,58.68,0,2.0974
01-12-2021,53.41,0,2.111
02-12-2021,58.78,0,2.1249
03-12-2021,61.77,0,2.1273
04-12-2021,51.74,0,2.1463
05-12-2021,57.55,0,2.1555
06-12-2021,38.11,0,2.1914
07-12-2021,38.48,0,2.2217
08-12-2021,42.66,0,2.2353
09-12-2021,58.35,0,2.2368
10-12-2021,62.43,0,2.2502
11-12-2021,39.4,0,2.2989
12-12-2021,44.62,0,2.3262
13-12-2021,53.18,0,2.3461
14-12-2021,62.22,0,2.3643
15-12-2021,69.59,0,2.3822
16-12-2021,51.66,0,2.45
17-12-2021,55.43,0.01,2.4901
18-12-2021,36.75,0,2.5547
19-12-2021,29.69,0,2.6077
20-12-2021,40.72,0,2.6227
21-12-2021,42.92,0,2.6528
22-12-2021,45.22,0,2.6815
23-12-2021,54.05,0.01,2.7045
24-12-2021,68.57,0,2.7386
25-12-2021,63.69,0,2.8267
26-12-2021,64.69,0,2.9052
27-12-2021,55.11,0,2.9876
28-12-2021,58.11,0,3.0567
29-12-2021,51.78,0.04,3.1307
30-12-2021,48.21,0,3.1779
31-12-2021,55.11,0.16,3.2048
01-01-2022,29.62,0.56,2.3079
02-01-2022,20.74,0.01,1.8651
03-01-2022,35.71,0,1.8741
04-01-2022,43.53,0,1.8857
05-01-2022,38.04,0,1.9006
06-01-2022,20.52,0,1.9278
07-01-2022,25.6,0,1.9481
08-01-2022,49.78,0.03,1.9277
09-01-2022,38.14,0,1.9225
10-01-2022,35.25,0,1.9463
11-01-2022,42.91,0,1.9573
12-01-2022,46.79,0,1.9639
13-01-2022,50.75,0,1.9728
14-01-2022,50.55,0,1.9852
15-01-2022,29.09,0,2.0106
16-01-2022,33,0,2.025
17-01-2022,42.67,0,2.0327
18-01-2022,52.79,0,2.0349
19-01-2022,33.15,0,2.0574
